Date,Open,High,Low,Close,Volume,Change
2022-05-17,39196,41617,38927,40991,2401396,0.5813818911307433
2022-05-18,42245,47716,41303,46911,9075002,0.6870819247644393
2022-05-19,44488,47359,42335,44400,4982169,0.4645248540422866
2022-05-20,45654,45654,43860,45655,1796621,0.1976652675760755
2022-05-23,45923,46371,41348,43144,1969660,0.08579338115011947
2022-05-24,42515,44487,41438,41574,1573227,0.014222634236783716
2022-05-25,42379,44399,41573,43637,1731272,-0.06979173328217259
2022-05-26,43726,44131,42919,44131,858680,-0.006058558558558524
2022-05-27,46192,46281,41617,42112,1744345,-0.07760376738582853
2022-05-30,41662,42469,38882,39466,2207100,-0.08524939736695714
2022-05-31,40091,40809,39329,40811,1514124,-0.018352816664261362
2022-06-02,40274,41529,39600,40319,925515,-0.07603639113596261
2022-06-03,40408,40497,38658,38883,1108861,-0.11891867394801836
